transaction_id,source_id,date,transaction_type,category,description,amount_aed,signed_amount_aed,payment_method,source_channel
TRX-00255,EXP-5136,2025-09-15,Expense,Marketing,Marketing expense,3250,-3250,Bank Transfer,Manual Entry
TRX-00090,INC-1090,2025-09-15,Income,Monthly service retainer,Monthly service retainer - Marina Fit Studio,15350,15350,Bank Transfer,Google Sheet Import
TRX-00251,EXP-5132,2025-09-15,Expense,Office rent,Office rent expense,11100,-11100,Bank Transfer,Manual Entry
TRX-00083,INC-1083,2025-09-16,Income,Automation setup fee,Automation setup fee - Desert Pearl Clinics,18500,18500,Bank Transfer,Accounting Export
TRX-00257,EXP-5138,2025-09-16,Expense,Office supplies,Office supplies expense,1075,-1075,Bank Transfer,Google Sheet Import
TRX-00262,EXP-5143,2025-09-16,Expense,Maintenance,Maintenance expense,1225,-1225,Bank Transfer,Google Sheet Import
TRX-00081,INC-1081,2025-09-17,Income,Automation setup fee,Automation setup fee - Blue Dhow Logistics,6650,6650,Bank Transfer,Manual Entry
TRX-00263,EXP-5144,2025-09-17,Expense,Transport and fuel,Transport and fuel expense,2000,-2000,Bank Transfer,Accounting Export
TRX-00261,EXP-5142,2025-09-17,Expense,Bank charges,Bank charges expense,175,-175,Cash,Telegram Form
TRX-00256,EXP-5137,2025-09-18,Expense,Marketing,Marketing expense,2825,-2825,Bank Transfer,Manual Entry
TRX-00082,INC-1082,2025-09-18,Income,Data cleaning support,Data cleaning support - Gulf Star Trading,4300,4300,Bank Transfer,Telegram Form
TRX-00254,EXP-5135,2025-09-18,Expense,Professional fees,Professional fees expense,1125,-1125,Bank Transfer,Accounting Export
TRX-00260,EXP-5141,2025-09-19,Expense,Marketing,Marketing expense,3825,-3825,Bank Transfer,Accounting Export
TRX-00267,EXP-5148,2025-09-19,Expense,Professional fees,Professional fees expense,1425,-1425,Cheque,Accounting Export
TRX-00252,EXP-5133,2025-09-19,Expense,Software subscriptions,Software subscriptions expense,2750,-2750,Cash,Accounting Export
TRX-00266,EXP-5147,2025-09-22,Expense,Bank charges,Bank charges expense,275,-275,Bank Transfer,Telegram Form
TRX-00253,EXP-5134,2025-09-22,Expense,Telecom and internet,Telecom and internet expense,1325,-1325,Bank Transfer,Manual Entry
TRX-00085,INC-1085,2025-09-25,Income,Monthly service retainer,Monthly service retainer - Oasis Cafe Group,17550,17550,Cheque,Manual Entry
TRX-00089,INC-1089,2025-09-25,Income,Dashboard customization,Dashboard customization - Capital Dental Center,10350,10350,Card,Manual Entry
TRX-00087,INC-1087,2025-09-25,Income,Automation setup fee,Automation setup fee - Ajman Modern School,17600,17600,Bank Transfer,Manual Entry
TRX-00250,EXP-5131,2025-09-29,Expense,Salaries and wages,Salaries and wages expense,26300,-26300,Bank Transfer,Accounting Export
TRX-00088,INC-1088,2025-09-29,Income,Dashboard customization,Dashboard customization - Mirdif Learning Hub,4150,4150,Bank Transfer,Manual Entry
TRX-00080,INC-1080,2025-09-30,Income,Training workshop,Training workshop - Ras Al Khaimah Warehousing,4600,4600,Bank Transfer,Telegram Form
TRX-00259,EXP-5140,2025-09-30,Expense,Marketing,Marketing expense,4350,-4350,Bank Transfer,Accounting Export
TRX-00096,INC-1096,2025-10-01,Income,Dashboard customization,Dashboard customization - Capital Dental Center,5850,5850,Bank Transfer,Telegram Form
TRX-00281,EXP-5162,2025-10-01,Expense,Transport and fuel,Transport and fuel expense,2225,-2225,Bank Transfer,Manual Entry
TRX-00274,EXP-5155,2025-10-02,Expense,Professional fees,Professional fees expense,2300,-2300,Cash,Manual Entry
TRX-00276,EXP-5157,2025-10-03,Expense,Transport and fuel,Transport and fuel expense,1375,-1375,Bank Transfer,Google Sheet Import
TRX-00268,EXP-5149,2025-10-07,Expense,Salaries and wages,Salaries and wages expense,34375,-34375,Bank Transfer,Manual Entry
TRX-00093,INC-1093,2025-10-10,Income,Automation setup fee,Automation setup fee - Falcon Legal Advisors,10050,10050,Cash,Accounting Export
TRX-00097,INC-1097,2025-10-10,Income,Monthly service retainer,Monthly service retainer - Gulf Star Trading,16000,16000,Bank Transfer,Google Sheet Import
TRX-00098,INC-1098,2025-10-10,Income,Data cleaning support,Data cleaning support - Al Noor Business Center,3100,3100,Bank Transfer,Google Sheet Import
TRX-00100,INC-1100,2025-10-13,Income,Dashboard customization,Dashboard customization - Blue Dhow Logistics,5800,5800,Bank Transfer,Manual Entry
TRX-00277,EXP-5158,2025-10-14,Expense,Marketing,Marketing expense,1450,-1450,Bank Transfer,Google Sheet Import
TRX-00270,EXP-5151,2025-10-14,Expense,Software subscriptions,Software subscriptions expense,2000,-2000,Bank Transfer,Manual Entry
TRX-00095,INC-1095,2025-10-16,Income,Monthly service retainer,Monthly service retainer - Marina Fit Studio,15100,15100,Card,Accounting Export
TRX-00099,INC-1099,2025-10-16,Income,Monthly service retainer,Monthly service retainer - Palm View Real Estate,15950,15950,Bank Transfer,Manual Entry
TRX-00271,EXP-5152,2025-10-20,Expense,Telecom and internet,Telecom and internet expense,1250,-1250,Cash,Accounting Export
TRX-00272,EXP-5153,2025-10-21,Expense,Office supplies,Office supplies expense,1000,-1000,Bank Transfer,Telegram Form
TRX-00269,EXP-5150,2025-10-21,Expense,Office rent,Office rent expense,10225,-10225,Card,Google Sheet Import
TRX-00282,EXP-5163,2025-10-22,Expense,Transport and fuel,Transport and fuel expense,3100,-3100,Bank Transfer,Manual Entry
TRX-00273,EXP-5154,2025-10-24,Expense,Office supplies,Office supplies expense,1200,-1200,Bank Transfer,Accounting Export
TRX-00092,INC-1092,2025-10-24,Income,Dashboard customization,Dashboard customization - Ajman Modern School,8750,8750,Card,Accounting Export
TRX-00279,EXP-5160,2025-10-27,Expense,Office supplies,Office supplies expense,950,-950,Bank Transfer,Telegram Form
TRX-00278,EXP-5159,2025-10-27,Expense,Office supplies,Office supplies expense,925,-925,Bank Transfer,Accounting Export
TRX-00280,EXP-5161,2025-10-27,Expense,Marketing,Marketing expense,4975,-4975,Bank Transfer,Google Sheet Import
TRX-00094,INC-1094,2025-10-28,Income,Monthly service retainer,Monthly service retainer - Ras Al Khaimah Warehousing,14750,14750,Bank Transfer,Google Sheet Import
TRX-00275,EXP-5156,2025-10-31,Expense,Transport and fuel,Transport and fuel expense,1075,-1075,Bank Transfer,Google Sheet Import
TRX-00091,INC-1091,2025-10-31,Income,Dashboard customization,Dashboard customization - Oasis Cafe Group,10550,10550,Bank Transfer,Google Sheet Import
TRX-00105,INC-1105,2025-11-04,Income,Automation setup fee,Automation setup fee - Al Noor Business Center,10250,10250,Bank Transfer,Telegram Form
TRX-00103,INC-1103,2025-11-04,Income,Dashboard customization,Dashboard customization - Palm View Real Estate,4600,4600,Cheque,Google Sheet Import
TRX-00293,EXP-5174,2025-11-06,Expense,Transport and fuel,Transport and fuel expense,2375,-2375,Bank Transfer,Manual Entry
TRX-00284,EXP-5165,2025-11-07,Expense,Office rent,Office rent expense,9850,-9850,Bank Transfer,Manual Entry
TRX-00110,INC-1110,2025-11-11,Income,Training workshop,Training workshop - Desert Pearl Clinics,2800,2800,Bank Transfer,Telegram Form
TRX-00102,INC-1102,2025-11-11,Income,Monthly service retainer,Monthly service retainer - Ras Al Khaimah Warehousing,9850,9850,Bank Transfer,Manual Entry
TRX-00288,EXP-5169,2025-11-12,Expense,Marketing,Marketing expense,2875,-2875,Bank Transfer,Telegram Form
TRX-00107,INC-1107,2025-11-12,Income,Automation setup fee,Automation setup fee - Ajman Modern School,9800,9800,Bank Transfer,Google Sheet Import
TRX-00285,EXP-5166,2025-11-12,Expense,Software subscriptions,Software subscriptions expense,3275,-3275,Cheque,Accounting Export
TRX-00290,EXP-5171,2025-11-13,Expense,Professional fees,Professional fees expense,1300,-1300,Card,Manual Entry
TRX-00101,INC-1101,2025-11-13,Income,Monthly service retainer,Monthly service retainer - Blue Dhow Logistics,18450,18450,Card,Google Sheet Import
TRX-00287,EXP-5168,2025-11-14,Expense,Marketing,Marketing expense,2900,-2900,Bank Transfer,Manual Entry
TRX-00286,EXP-5167,2025-11-17,Expense,Telecom and internet,Telecom and internet expense,1725,-1725,Bank Transfer,Accounting Export
TRX-00111,INC-1111,2025-11-20,Income,Automation setup fee,Automation setup fee - Mirdif Learning Hub,7950,7950,Bank Transfer,Manual Entry
TRX-00292,EXP-5173,2025-11-21,Expense,Office supplies,Office supplies expense,700,-700,Card,Accounting Export
TRX-00289,EXP-5170,2025-11-24,Expense,Transport and fuel,Transport and fuel expense,1900,-1900,Bank Transfer,Telegram Form
TRX-00104,INC-1104,2025-11-24,Income,Monthly service retainer,Monthly service retainer - Capital Dental Center,20200,20200,Bank Transfer,Manual Entry
TRX-00295,EXP-5176,2025-11-25,Expense,Office supplies,Office supplies expense,825,-825,Bank Transfer,Google Sheet Import
TRX-00108,INC-1108,2025-11-25,Income,Data cleaning support,Data cleaning support - Oasis Cafe Group,3950,3950,Bank Transfer,Manual Entry
TRX-00296,EXP-5177,2025-11-25,Expense,Bank charges,Bank charges expense,300,-300,Bank Transfer,Google Sheet Import
TRX-00294,EXP-5175,2025-11-26,Expense,Office supplies,Office supplies expense,1375,-1375,Cash,Telegram Form
TRX-00283,EXP-5164,2025-11-26,Expense,Salaries and wages,Salaries and wages expense,29150,-29150,Bank Transfer,Telegram Form
TRX-00298,EXP-5179,2025-11-27,Expense,Marketing,Marketing expense,4525,-4525,Bank Transfer,Google Sheet Import
TRX-00109,INC-1109,2025-11-27,Income,Automation setup fee,Automation setup fee - Marina Fit Studio,11350,11350,Bank Transfer,Google Sheet Import
TRX-00291,EXP-5172,2025-11-27,Expense,Marketing,Marketing expense,2625,-2625,Bank Transfer,Manual Entry
TRX-00106,INC-1106,2025-11-27,Income,Monthly service retainer,Monthly service retainer - Gulf Star Trading,15150,15150,Bank Transfer,Telegram Form
TRX-00297,EXP-5178,2025-11-28,Expense,Maintenance,Maintenance expense,1025,-1025,Bank Transfer,Google Sheet Import
TRX-00117,INC-1117,2025-12-01,Income,Dashboard customization,Dashboard customization - Desert Pearl Clinics,8650,8650,Bank Transfer,Accounting Export
TRX-00114,INC-1114,2025-12-03,Income,Training workshop,Training workshop - Al Noor Business Center,5700,5700,Bank Transfer,Google Sheet Import
TRX-00311,EXP-5192,2025-12-05,Expense,Bank charges,Bank charges expense,175,-175,Bank Transfer,Google Sheet Import
TRX-00302,EXP-5183,2025-12-05,Expense,Telecom and internet,Telecom and internet expense,1150,-1150,Bank Transfer,Google Sheet Import
TRX-00316,EXP-5197,2025-12-05,Expense,Maintenance,Maintenance expense,625,-625,Bank Transfer,Accounting Export
TRX-00305,EXP-5186,2025-12-08,Expense,Marketing,Marketing expense,2525,-2525,Bank Transfer,Google Sheet Import
TRX-00113,INC-1113,2025-12-09,Income,Data cleaning support,Data cleaning support - Ras Al Khaimah Warehousing,6350,6350,Bank Transfer,Google Sheet Import
TRX-00304,EXP-5185,2025-12-09,Expense,Professional fees,Professional fees expense,1325,-1325,Bank Transfer,Manual Entry
TRX-00299,EXP-5180,2025-12-10,Expense,Salaries and wages,Salaries and wages expense,30925,-30925,Card,Telegram Form
TRX-00307,EXP-5188,2025-12-10,Expense,Marketing,Marketing expense,1725,-1725,Bank Transfer,Accounting Export
TRX-00315,EXP-5196,2025-12-10,Expense,Office supplies,Office supplies expense,500,-500,Bank Transfer,Google Sheet Import
TRX-00313,EXP-5194,2025-12-11,Expense,Office supplies,Office supplies expense,1200,-1200,Cash,Telegram Form
TRX-00308,EXP-5189,2025-12-12,Expense,Transport and fuel,Transport and fuel expense,3150,-3150,Card,Manual Entry
TRX-00112,INC-1112,2025-12-19,Income,Dashboard customization,Dashboard customization - Marina Fit Studio,9500,9500,Bank Transfer,Manual Entry
TRX-00312,EXP-5193,2025-12-19,Expense,Office supplies,Office supplies expense,650,-650,Card,Manual Entry
TRX-00119,INC-1119,2025-12-19,Income,Monthly service retainer,Monthly service retainer - Blue Dhow Logistics,15500,15500,Cheque,Google Sheet Import
TRX-00115,INC-1115,2025-12-19,Income,Data cleaning support,Data cleaning support - Capital Dental Center,8500,8500,Bank Transfer,Google Sheet Import
TRX-00116,INC-1116,2025-12-22,Income,Training workshop,Training workshop - Ajman Modern School,4150,4150,Bank Transfer,Accounting Export
TRX-00303,EXP-5184,2025-12-22,Expense,Professional fees,Professional fees expense,2900,-2900,Cash,Telegram Form
TRX-00309,EXP-5190,2025-12-24,Expense,Transport and fuel,Transport and fuel expense,1875,-1875,Cash,Manual Entry
TRX-00301,EXP-5182,2025-12-25,Expense,Software subscriptions,Software subscriptions expense,2375,-2375,Cash,Telegram Form
TRX-00314,EXP-5195,2025-12-25,Expense,Transport and fuel,Transport and fuel expense,2225,-2225,Bank Transfer,Accounting Export
TRX-00300,EXP-5181,2025-12-26,Expense,Office rent,Office rent expense,10375,-10375,Card,Accounting Export
TRX-00310,EXP-5191,2025-12-30,Expense,Maintenance,Maintenance expense,675,-675,Bank Transfer,Manual Entry
TRX-00118,INC-1118,2025-12-30,Income,Automation setup fee,Automation setup fee - Falcon Legal Advisors,17900,17900,Cash,Google Sheet Import
TRX-00306,EXP-5187,2025-12-30,Expense,Transport and fuel,Transport and fuel expense,2375,-2375,Card,Google Sheet Import
